chrom	start	end	gene1	gene2	gene1_strand	gene2_strand	inter_tss_distance	pair_type	orig_start	orig_end	cpg_overlap_fraction	cpg_obs_exp	cpg_gc_pct	H3K4me3_n_present	H3K4me3_frac_present	H3K4me3_mean	H3K4me3_cv	H3K27ac_n_present	H3K27ac_frac_present	H3K27ac_mean	H3K27ac_cv	H3K27me3_n_absent	H3K27me3_frac_absent	H3K27me3_mean	H3K27me3_cv	H3K9me3_n_absent	H3K9me3_frac_absent	H3K9me3_mean	H3K9me3_cv	meth_mean	meth_cv	meth_n_hypo	meth_frac_hypo	DNase_mean	DNase_cv	DNase_n_present	DNase_frac_present
chr1	1324263	1325255	INTS11	CPTP	-	+	68	divergent_classic	1324687	1324755	1.0	72.1	116.0	11	1.0	42.717474727291915	0.751691640947352	11	1.0	10.406106276622001	0.807315342699596	11	1.0	0.31316431713275034	0.9022450792812634	11	1.0	0.20062009276996437	0.9094633286126518	1.172464616653762	0.884092535635358	6	1.0	0.9737465746190825	0.730245077450194	11	1.0
chr1	5990926	5993346	KCNAB2	NPHP4	+	-	1547	divergent_overlapping	5990926	5992473	0.7483471074380166	68.2	189.0	11	1.0	22.044798355634082	0.5925310741732028	10	0.9090909090909091	5.967303093735339	0.9099508698053299	10	0.9090909090909091	0.6365490567537881	0.9636610842269161	11	1.0	0.27717564397508637	0.4708819757208314	4.06858203176544	0.47040997399373247	6	1.0	1.0344100680546233	0.3364535461632407	11	1.0
chr1	6612726	6615681	PHF13	KLHL21	+	-	877	divergent_overlapping	6613730	6614607	1.0	67.3	310.0	11	1.0	27.893536217259953	0.6746103115157304	10	0.9090909090909091	5.239965365267673	0.49854678580493955	11	1.0	0.34991331679181337	0.788639701917005	11	1.0	0.2079203097707244	0.5965677368186044	3.2789653537166275	0.7441088413675137	6	1.0	0.8205177815592756	0.44670707906178275	11	1.0
chr1	9943107	9943527	LZIC	NMNAT1	-	+	20	divergent_classic	9943407	9943427	1.0	68.6	39.0	11	1.0	23.426322430996667	0.4916289964361494	11	1.0	16.236056263702256	0.5464875182345251	11	1.0	0.24912989206644365	1.534436102814136	11	1.0	0.19120144129347072	1.2786019828487287	1.8566086691086692	1.0580475700492677	6	1.0	1.8600347901190517	0.26570612447825653	11	1.0
chr1	11805405	11806509	CLCN6	MTHFR	+	-	360	divergent_overlapping	11806095	11806455	1.0	67.9	92.0	11	1.0	24.939924990742806	0.5220524199034208	11	1.0	15.15528002097256	0.47924042457392224	11	1.0	0.26282436417615745	0.9498671407543826	11	1.0	0.13873019209098836	0.572516745400514	1.0571763544366284	1.0282356252376332	6	1.0	1.7460345163941384	0.28192175457778135	11	1.0
chr1	15526534	15527168	CASP9	DNAJC16	-	+	278	divergent_classic	15526534	15526812	0.8753943217665615	66.3	53.0	11	1.0	17.947408473464318	0.4888814970127555	10	0.9090909090909091	9.086960391813227	0.6136339796828926	11	1.0	0.2117205224433217	1.171398278176504	11	1.0	0.23037509578670215	0.9551063901482654	2.0029043000534226	1.0155559274015562	6	1.0	2.8781915764634984	0.565643198493076	11	1.0
chr1	16352079	16352697	FBXO42	SZRD1	-	+	94	divergent_classic	16352480	16352574	1.0	60.7	52.0	11	1.0	33.289413973902136	0.846889110338175	11	1.0	14.153694996663004	0.6192115292052012	11	1.0	0.43419199999916125	1.082610659095906	11	1.0	0.3466476031325372	0.9440514469574353	15.245702696779807	2.2700870251705054	6	0.8571428571428571	1.1631048253457088	0.4573933448369046	11	1.0
chr1	19251390	19252214	EMC1	MRTO4	-	+	252	divergent_classic	19251552	19251804	1.0	67.2	82.0	11	1.0	42.013278308013135	0.5866900134958674	11	1.0	20.060637385590308	0.5961149882817203	11	1.0	0.5344168938881333	0.999218470235063	11	1.0	0.37737972777524237	0.7220741716473511	0.8102868854974817	0.8855146818127746	6	1.0	0.9228368120601719	0.5777323902829414	11	1.0
chr1	19311713	19312815	AKR7A2	SLC66A1	-	+	181	divergent_classic	19312144	19312325	1.0	71.5	120.0	11	1.0	29.221193144913038	0.6239953611447282	11	1.0	9.224947220860964	0.6585770297890157	11	1.0	0.37543781912949475	0.8956664169018344	11	1.0	0.23442712818205258	0.3798293057671765	1.730646760253447	0.6157097139033622	6	1.0	1.045102485016132	0.6169621731288505	11	1.0
chr1	19484402	19486150	MICOS10	CAPZB	+	-	1137	divergent_overlapping	19484402	19485539	0.5383295194508009	61.8	84.0	11	1.0	34.12070688251098	0.635459219938326	11	1.0	15.806936058618076	0.6042731545724684	11	1.0	0.4143087375848927	0.7760954927698184	11	1.0	0.2741138291395956	0.36864695842357165	3.718383201842746	0.987086047790479	5	0.8333333333333334	0.7835155750156211	0.6405265923384699	11	1.0
chr1	26900001	26900518	NUDC	GPATCH3	+	-	230	divergent_overlapping	26900237	26900467	1.0	61.7	45.0	11	1.0	37.2993511112415	0.4319440442825832	11	1.0	18.940112089057454	0.8602908542337767	11	1.0	0.5013678801227591	1.0570686821956337	11	1.0	0.3806735638145023	0.5923438229762947	1.2264494897728955	0.5484195252848137	6	1.0	0.9979274868362499	0.2771226158736128	11	1.0
chr1	31296399	31297131	SNRNP40	ZCCHC17	-	+	193	divergent_classic	31296788	31296981	1.0	59.6	55.0	11	1.0	29.853252943199895	0.568814298751351	11	1.0	12.950971926596749	0.5554547089204234	11	1.0	0.33430018136874623	1.011423417089132	11	1.0	0.3545233468859589	0.5718529859702597	1.1295867578476273	0.6188043247670458	6	1.0	1.8845696927323312	0.4056622264644368	11	1.0
chr1	32650903	32651762	ZBTB8OS	RBBP4	-	+	238	divergent_classic	32650903	32651141	0.9545983701979045	69.5	96.0	11	1.0	25.70693957010806	0.46496719933302577	11	1.0	20.53598035231731	0.4984793773738636	11	1.0	0.3578494373530104	1.2449154513481535	11	1.0	0.277534853746286	0.9414123979645165	1.5117345985143886	0.6762806209054845	6	1.0	1.4028162731883613	0.2389180571653664	11	1.0
chr1	32816766	32818305	S100PBP	YARS1	+	-	1265	divergent_overlapping	32816766	32818031	0.7998700454840806	68.6	104.0	11	1.0	42.22407596465674	0.6188838011603529	11	1.0	24.169368400016193	0.6965005712965355	10	0.9090909090909091	0.6495327510145437	0.9627067922909156	11	1.0	0.47292178710717453	0.7991935724401248	1.2135091232798132	0.5601702398267484	6	1.0	1.1724083446097309	0.3559738760391316	11	1.0
chr1	35557079	35558233	NCDN	KIAA0319L	+	-	478	divergent_overlapping	35557472	35557950	1.0	65.5	95.0	11	1.0	33.04222755431286	0.545476167045614	11	1.0	14.008819191714498	0.5990854627867384	11	1.0	0.5542730337816753	0.9055624829981294	11	1.0	0.27348621510964705	0.7186301830358267	1.4424772377401724	0.7564093583756247	6	1.0	1.2502342876456227	0.3421695581661513	11	1.0
chr1	36155578	36156709	MAP7D1	TRAPPC3	+	-	475	divergent_overlapping	36155578	36156053	0.7595048629531388	69.2	104.0	11	1.0	28.214555723239304	0.5393933026610889	11	1.0	17.185074611496216	0.6551565089505631	11	1.0	0.22619277583752828	0.7242128585611863	11	1.0	0.35465261442714663	0.5746396639020929	1.12622252685369	0.4752728108244476	6	1.0	0.7324724965319902	0.5952844424554498	11	1.0
chr1	37806978	37808730	C1orf122	YRDC	+	-	1230	divergent_overlapping	37806978	37808208	0.567351598173516	72.7	121.0	11	1.0	26.259884132303206	0.41036009033135346	11	1.0	9.051088349537721	0.5084618369766151	11	1.0	0.4648717943333194	0.7063014084878154	11	1.0	0.3198670789392416	0.3444628280197163	4.287770051405351	0.5814039933718873	6	1.0	0.8070187851022578	0.5020535453843843	11	1.0
chr1	42816903	42817419	ERMAP	SVBP	+	-	276	divergent_overlapping	42817121	42817397	1.0	75.8	58.0	11	1.0	24.733663253525012	0.6930747551490877	11	1.0	16.52874848639108	0.3670534514809944	11	1.0	0.21968320085863313	1.197774231720566	11	1.0	0.25771675534932675	0.9491375893830079	1.6936955498313926	0.9863763137105152	6	1.0	1.4960026245569473	0.5635226361541894	11	1.0
chr1	45010553	45011350	UROD	HECTD3	+	-	375	divergent_overlapping	45010949	45011324	1.0	70.9	78.0	11	1.0	34.233730994442745	0.4418661052870108	9	0.8181818181818182	5.280612413319124	0.8864147031891202	11	1.0	0.6107882660740226	0.8598621805921824	11	1.0	0.3525794615838861	0.739800755910517	1.4479908675172917	0.8416509288794243	6	1.0	0.4242912329406181	0.6166423868495268	11	1.0
chr1	45339892	45340893	TOE1	MUTYH	+	-	842	divergent_overlapping	45340051	45340893	0.41858141858141856	69.7	56.0	11	1.0	33.867180911889584	0.5983004983329224	11	1.0	18.82590125369555	0.6973188895252549	11	1.0	0.38271926773194237	0.6628834855869704	11	1.0	0.3623107774029637	0.7874955583017181	1.9205349458391492	0.6199865996497973	6	1.0	1.1133670643997522	0.27561590286258264	11	1.0
chr1	46301753	46303697	LRRC41	UQCRH	-	+	81	divergent_classic	46303616	46303697	0.8287037037037037	70.9	155.0	11	1.0	34.33155424805835	0.5554601457925884	11	1.0	21.15629798816605	0.6592146562075699	11	1.0	0.45716394795205023	0.7489336159561343	11	1.0	0.4365423042036765	0.9527737872737876	1.5066052324878034	0.5796813498754498	6	1.0	0.8282673749609313	0.25867771852282645	11	1.0
chr1	50959775	50960744	FAF1	CDKN2C	-	+	477	divergent_classic	50960267	50960744	0.6429308565531475	58.3	65.0	11	1.0	26.152512476377762	0.4219559926149206	10	0.9090909090909091	8.887824459263198	0.6294684104328048	11	1.0	0.37797848224322084	0.8864818449857664	11	1.0	0.3511714357652756	0.8196922311400083	15.492706402402188	2.229188777207212	6	0.8571428571428571	1.1952190072217652	0.3647573438202661	11	1.0
chr1	52055074	52056624	TXNDC12	BTF3L4	-	+	1007	divergent_classic	52055191	52056198	0.5767741935483871	63.6	39.5	11	1.0	28.707447033013057	0.41535668138202786	11	1.0	15.815558164576737	0.5650648351878115	10	0.9090909090909091	0.44431571952440446	1.246775005357725	11	1.0	0.27182838448027696	1.0816596894880448	0.9249200655718636	0.31474424773361415	6	1.0	0.8075070057083086	0.19996438381805012	11	1.0
chr1	54052928	54053626	TMEM59	TCEANC2	-	+	79	divergent_classic	54053504	54053583	1.0	64.5	55.0	11	1.0	23.886830309160526	0.5894567446676822	11	1.0	12.889963881377856	0.6958025047455537	11	1.0	0.44048163863308926	0.879588164250278	11	1.0	0.20774670687015975	0.9117256401856237	1.3545945207351233	1.313985330002856	6	1.0	1.9798184092039584	0.3562793650475221	11	1.0
